A,33,23,1.0128254247743307
E,10,11,4.122868583796852
E,24,24,-2.643134242713572
C,6,3,2.8769123620655543
C,39,26,2.7152400146422044
B,16,44,-1.07012291606205
E,28,36,1.2491661579681184
B,22,47,-1.325749876756187
C,42,22,2.4852413962063578
A,38,40,-3.0637346590724777
A,10,26,1.5914213410056197
B,22,42,-0.8309783216550746
D,33,37,0.5066660047001035
B,46,38,-0.004121532277623352
D,33,20,3.9913818587593797
E,9,29,2.1784768556769567
A,46,44,4.6517892263827285
D,11,20,1.9822972913834502
E,12,25,3.240030147322906
C,40,29,1.3795292004164903
B,17,1,-1.2086275978967258
A,31,50,1.4930719220955249
D,19,26,3.414849188675462
E,2,45,-2.254484291983637
E,46,15,3.642551850312394
C,7,16,-0.2696273120262509
C,42,44,1.7651115398070005
B,50,23,3.582615540821128
C,29,25,-1.0402576987158567
B,5,31,0.11037762628787906
D,14,35,0.27940946031985847
C,8,11,-1.205310227396319
D,49,9,4.473559190741064
A,30,26,0.6346682434198456
E,8,48,1.7359523536416255
A,43,47,-3.6519010413462247
C,43,48,-0.757115345714745
A,5,50,1.8209834902301
A,25,40,-4.958742258357864
C,18,30,-1.4945467510136798
E,32,41,4.5241399659126404
D,38,19,3.5839715126057357
C,7,8,2.7308005753231477
E,50,26,-2.0708138300733143
E,4,8,-0.01657382470647839
C,21,28,-1.3094996882664849
D,23,31,0.17627285711263663
B,13,23,2.7489757776970416
D,38,35,4.256502013243811
B,31,7,3.137395374140401
D,49,48,1.8549064664140968
B,28,18,0.5182986966332477
B,34,17,3.73207863390847
E,7,4,2.6906114506882997
C,34,18,1.1918070750913037
B,8,12,2.796639340550442
D,21,3,3.149583951182782
A,20,8,-0.3050357172981393
C,50,39,2.2249657618462795
C,21,15,2.956901628749824
B,24,45,-0.23829521129072728
A,9,15,2.3836876058932788
E,41,36,0.19614669595629142
E,46,39,-2.5108216171549023
B,1,50,-1.6365990077157635
E,12,40,-0.10950290098747928
C,24,13,1.6925399322068602
B,26,24,3.411886729970785
C,40,11,0.741694249405974
C,20,36,1.3392856811894776
E,43,7,-2.8274200367300484
E,31,3,3.909575760047278
B,2,50,3.400828985786436
A,47,5,-2.6342605988150067
B,10,37,-1.776110933123742
E,13,5,1.0741324831930026
A,19,28,3.6000433344636935
B,21,18,2.1427698215508713
C,33,2,1.7900508734997707
C,34,34,1.6858355041507789
D,4,15,0.8810314210697008
E,20,20,-2.006050990039008
C,33,37,-1.1638014398472283
A,16,20,-0.3130626205066678
D,2,8,2.8067392178120163
C,35,44,-1.1297751078643175
B,26,28,0.04778473395372451
A,4,45,-1.507174542241283
C,26,24,-0.21350990341976117
C,25,50,-1.2430242391461148
B,41,33,4.683961903484242
A,34,15,4.5015900056590965
E,13,47,-1.7627486051262276
C,23,6,-1.2413642713675488
D,13,1,-0.5929874752859357
A,49,8,-0.6249071781110889
D,32,4,2.1066527443697414
D,2,15,2.0458329104217343
D,19,35,0.21112436365598652
E,26,40,-0.41125956985718837
E,14,24,2.6685381969764697
B,47,50,-1.5056770236596524
C,35,10,2.01712807977791
D,6,2,2.1222498362565867
A,21,26,1.0007839939906757
A,35,49,4.955392194920712
